Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Preinscripciones de Educación Básica,Secretaría de Educación Pública,Instituto Hidalguense de Educación,47520.0,1.0,0.0,Nivel 4.1,0.0,0,-0.9802257573290314
Constitución de Grupos de Productores/as de Leche.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,5.0,1.0,Nivel 2,0.0,2,-0.012776426960269593
Capacitación en Nutrición y Manejo de Ganado Lechero.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,1.0,Nivel 2,0.0,2,-0.550657936401317
Capacitación en Inseminación Artificial en Bovinos leche.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,1.0,Nivel 2,0.0,2,-0.550657936401317
Reinscripción UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,30.0,1.0,1.0,Nivel 1,1.0,1,-0.1945451199151917
Historial académico UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,4320.0,1.0,0.0,Nivel 1,1.0,1,0.21729550070986225
Autorización de Bitácora de Control para Residuos de Manejo Especial,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,86400.0,2.0,1.0,,1.0,1,0.5949833255602108
Actualización al Padrón de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,1,0.1345610515215638
Elaboración de Contrato,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,3.0,1.0,,1.0,1,-0.025723025484433698
Constancia de No Afectación,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,6.0,0.0,Nivel 1,1.0,1,0.08437170213647907
Constancia No Comprendida,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,1.0,1.0,Nivel 1,1.0,1,-0.21057671153647722
Constancia de No Invasión a Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,1.0,1.0,Nivel 1,1.0,1,-0.21057671153647722
Constancia de Verificación de la Poligonal de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,1.0,1.0,Nivel 1,1.0,1,-0.21057671153647722
Examen de admisión UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,25.0,0.0,0.0,Nivel 2,1.0,1,-0.2731787218096425
Inscripción Nivel Licenciatura Bilingüe UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,31680.0,5.0,2.0,Nivel 3.7,1.0,0,0.4415280009380168
Nube de puntos derivado de vuelo con Dron,Secretaría de Hacienda,Instituto Catastral,4320.0,3.0,1.0,,1.0,1,0.39244213648941156
Otorgamiento o Renovación de Concesiones para el Servicio de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,10.0,1.0,,1.0,1,0.37390490890191075
Pago de arrendamiento,Oficialía Mayor,Oficialía Mayor,14400.0,0.0,1.0,,0.0,2,-0.1512194417267196
Inscripción ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,20.0,6.0,0.0,Nivel 1,1.0,1,0.06834011051519354
Declaración de Impuestos Estatales,Secretaría de Hacienda,Secretaría de Hacienda,1440.0,2.0,2.0,,0.0,2,0.08931276987619563
Declaración de ISR Enajenación de Bienes Inmuebles Impuestos Federales Coordinados,Secretaría de Hacienda,Secretaría de Hacienda,120.0,6.0,2.0,,0.0,2,0.12627206767963284
Devolución por Concepto de Pago de lo Indebido Estatal,Secretaría de Hacienda,Secretaría de Hacienda,14400.0,2.0,1.0,,0.0,2,-0.05579652161296755
Pago de Créditos Fiscales Estatales,Secretaría de Hacienda,Secretaría de Hacienda,20.0,1.0,2.0,,0.0,2,-0.2841732803273828
Pago de Créditos Fiscales Federales Coordinados,Secretaría de Hacienda,Secretaría de Hacienda,20.0,1.0,2.0,,0.0,2,-0.2841732803273828
Compensación por concepto de pago de lo indebido estatal,Secretaría de Hacienda,Secretaría de Hacienda,86400.0,0.0,1.0,,0.0,2,-0.04518477519120123
Declaración de ISAN,Secretaría de Hacienda,Secretaría de Hacienda,60.0,2.0,2.0,,0.0,2,-0.11845444555313034
Movimientos y Actualización al Padrón Estatal de Contribuyentes,Secretaría de Hacienda,Secretaría de Hacienda,20.0,5.0,1.0,Nivel 3.1,0.0,2,-0.6168788774076874
Alta de vehículo particular,Secretaría de Hacienda,Secretaría de Hacienda,20.0,8.0,2.0,,1.0,1,0.7556227548103738
Baja de vehículo particular,Secretaría de Hacienda,Secretaría de Hacienda,20.0,2.0,1.0,,1.0,1,-0.04175461710571923
Expedición de Placas de Demostración para Vehículos de Agencia,Secretaría de Hacienda,Secretaría de Hacienda,20.0,1.0,2.0,Nivel 3.7,1.0,0,-0.4000206685427768
Baja de vehículo de transporte público.,Secretaría de Hacienda,Secretaría de Hacienda,20.0,3.0,1.0,,1.0,1,-0.04175461710571923
Reposición de Tarjeta de Circulación por Pérdida o Actualización Datos,Secretaría de Hacienda,Secretaría de Hacienda,1440.0,3.0,1.0,,1.0,1,0.23630851298410716
Inscripción al Registro Estatal de Contribuyentes,Secretaría de Hacienda,Secretaría de Hacienda,1440.0,1.0,1.0,Nivel 3.1,0.0,2,-0.624057110718323
Laboratorio de Constatación de Leche.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,0.0,Nivel 2,1.0,1,-0.012237297112448198
Equivalencia de Estudios UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,44640.0,4.0,1.0,Nivel 3.7,1.0,0,0.07127085804351829
Reinscripción UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,2880.0,3.0,0.0,Nivel 3.7,1.0,0,-0.37506853004276824
Inscripción De las Demás Zonas por división (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,5.0,1.0,,1.0,1,0.6736687751038608
"Certificaciones. (Registro Público de la Propiedad y del Comercio, Registro de Crédito Agrícola)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,,1.0,1,0.3884274117033988
Cancelación de Inscripción. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.4838503318171508
Servicios de Psicología para Mujeres Jóvenes.,Secretaría de Gobierno,Ciudad de las Mujeres,60.0,0.0,1.0,,0.0,2,-0.611626803196631
Orientación Vocacional para Mujeres Jóvenes.,Secretaría de Gobierno,Ciudad de las Mujeres,1440.0,0.0,1.0,,0.0,2,-0.403859587767305
Expedición de Permiso de circulación.,Secretaría de Hacienda,Secretaría de Hacienda,10.0,3.0,1.0,,1.0,1,-0.0935931115733008
Baja Administrativa de Vehículos,Secretaría de Hacienda,Secretaría de Hacienda,10.0,1.0,1.0,,1.0,1,-0.1890160316870529
Alta de vehículo de transporte público,Secretaría de Hacienda,Secretaría de Hacienda,30.0,6.0,3.0,,1.0,1,0.840938388844819
Ampliación de Periodo de Verificación Vehícular Extemporánea,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,3.0,0.0,Nivel 1,0.0,2,-0.08505253152300651
Licitaciones Públicas,Oficialía Mayor,Oficialía Mayor,0.0,0.0,0.0,,0.0,2,-0.5805876713933353
Visita Guiada al Parque Ecológico Cubitos,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,0.0,0.0,Nivel 1,1.0,1,0.3642697290009016
Titulación (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,48960.0,1.0,0.0,,1.0,1,0.4477027034367495
Constancia de Residencia Profesional (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,21600.0,0.0,0.0,,1.0,1,0.38210287035460744
Atención Jurídica en Materia Familiar y Penal a Mujeres en Situación de Violencia de Género.,Secretaría de Gobierno,Ciudad de las Mujeres,120.0,0.0,3.0,,0.0,2,0.12012423779196468
Atención de Trabajo Social a Mujeres en Situación de Violencia de Género,Secretaría de Gobierno,Ciudad de las Mujeres,45.0,0.0,6.0,,0.0,2,0.156401355173436
Inscripción UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,3.0,0.0,Nivel 3.9,1.0,0,-0.5774069458517503
Reinscripción UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,Nivel 3.9,1.0,0,-0.6728298659655023
Compulsa de documentos,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,0.0,0.0,,0.0,2,-0.10707627731975256
Donación de Planta Forestal para Reforestación,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,7200.0,0.0,0.0,,0.0,2,-0.21310630509509423
"Visita al Parque Nacional ""El Chico""",Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,0.0,0.0,,1.0,1,0.4376689033179076
Inscripción UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,4320.0,4.0,0.0,,1.0,1,0.5759360384273304
Examen de Ingreso UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,4320.0,1.0,0.0,,1.0,1,0.29069467502686824
Solicitud de Examen de Admisión UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,4320.0,3.0,0.0,Nivel 3.7,1.0,0,-0.27447497371243385
Certificados de Estudios Parciales y Totales UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,12960.0,3.0,0.0,Nivel 3.7,1.0,0,-0.1864143236137023
Historial Académico UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,1,0.1345610515215638
Reposición de credencial UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,1,0.1345610515215638
Reinsripción UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,7200.0,1.0,0.0,Nivel 1,1.0,1,0.25823970122555995
Constancia Escolar UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,1440.0,1.0,0.0,Nivel 1,1.0,1,0.06116187720455782
Titulación UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,259200.0,3.0,0.0,Nivel 2,1.0,1,0.6912700550836532
"Prestación de servicios del Polideportivo, Gimnasio Presidente Miguel Alemán y el estadio de béisbol G. Alfonso Corona del Rosal del Instituto Hidalguense del Deporte",Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,0.0,1.0,Nivel 1,1.0,1,-0.2624152060040588
Publicaciones e impresiones (Materia Catastral Intructivo de Valuación),Secretaría de Hacienda,Instituto Catastral,4320.0,1.0,0.0,,1.0,1,0.29069467502686824
Preinscripción a Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,30.0,2.0,0.0,Nivel 1,1.0,1,-0.10544674115023095
Inscripción a Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,20.0,6.0,0.0,Nivel 1,1.0,1,0.06834011051519354
Certificación de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,21600.0,6.0,0.0,Nivel 1,1.0,1,0.5939450594380635
Constancia de No Infracción.,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,Nivel 2,1.0,1,-0.1725213741184457
Constancia de Inscripción de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,2880.0,2.0,2.0,Nivel 1,1.0,1,0.6161988433718197
Historial Académico de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,10.0,3.0,1.0,Nivel 1,1.0,1,-0.16699228589030685
Solicitud de exámenes ordinarios de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,15.0,3.0,0.0,Nivel 1,1.0,1,-0.14327858362748175
Solicitud de exámenes extemporáneos de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,15.0,3.0,0.0,Nivel 1,1.0,1,-0.14327858362748175
Inscripción a Nivel Posgrado UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,2880.0,6.0,2.0,Nivel 3.7,1.0,0,0.21882389212248177
Servicios de Laboratorio UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,21600.0,2.0,2.0,Nivel 1,1.0,1,0.8082005950298934
Servicios de Evaluación y certificación /Entidad de Certificación y Evaluación UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,43200.0,1.0,0.0,Nivel 1,1.0,1,0.3642697290009016
Consultoría y Estudio Técnico UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,28800.0,3.0,1.0,Nivel 1,1.0,1,0.43351298720949744
Reinscripción UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,2.0,0.0,Nivel 4.3,1.0,0,-0.7420644016277984
Expedición de Historial Académico UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,2.0,0.0,Nivel 4.3,1.0,0,-0.7420644016277984
Constancia de Estudios UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,10.0,1.0,0.0,Nivel 3.7,1.0,0,-0.8559331418888982
Historial Académico UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,10.0,1.0,0.0,Nivel 3.7,1.0,0,-0.8559331418888982
Entrega de apoyos a población vulnerable,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
"Expedición de información catastral, sin certificación.",Secretaría de Hacienda,Instituto Catastral,4320.0,1.0,1.0,Nivel 1,1.0,1,0.22362004205865357
Equivalencia de Estudios UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,50.0,4.0,1.0,Nivel 3.7,1.0,0,-0.45658668021397436
Certificado Parcial de Estudios y/o Carta de Pasante UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,70.0,2.0,0.0,Nivel 3.8,1.0,0,-0.6996050757925907
Reposición de credencial escolar UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,4320.0,2.0,0.0,Nivel 1,1.0,1,0.3127184208236143
Constancia de no Adeudo UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,4320.0,2.0,2.0,Nivel 2,1.0,1,0.6433932253851482
Certificado de Estudios ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,5760.0,2.0,0.0,Nivel 1,1.0,1,0.33577653997573076
Constancia Escolar ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,1440.0,1.0,0.0,Nivel 1,1.0,1,0.06116187720455782
Examen de Egreso de Licenciatura UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,20.0,1.0,0.0,Nivel 4.1,1.0,0,-1.0242921703723347
Constancia Escolar UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,1440.0,3.0,0.0,Nivel 3.7,1.0,0,-0.4306085972177383
Equivalencia de Estudios UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,3.0,0.0,Nivel 3.7,1.0,0,-0.7304719781635298
Certificación UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,45.0,2.0,0.0,Nivel 3.7,1.0,0,-0.6610016888988235
Credencial Escolar UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,1.0,0.0,Nivel 3.7,1.0,0,-0.8258948982772818
Examen Toefl UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,20.0,1.0,0.0,Nivel 4.1,1.0,0,-1.0242921703723347
Examen de Competencia Profesional UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,20.0,1.0,0.0,Nivel 4.1,1.0,0,-1.0242921703723347
Examen Extraordinario UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,20.0,1.0,0.0,Nivel 4.1,1.0,0,-1.0242921703723347
Recurso de Revocación Estatal,Secretaría de Hacienda,Secretaría de Hacienda,129600.0,3.0,0.0,Nivel 4.2,0.0,0,-0.7164336223830375
Historial Académico UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,70.0,1.0,0.0,Nivel 3.7,1.0,0,-0.7216288215893365
Titulación Nivel Licenciatura/Ingeniería y Posgrado UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,40.0,7.0,4.0,Nivel 3.9,1.0,0,0.37958165033135577
Recurso de Revocación Federal,Secretaría de Hacienda,Secretaría de Hacienda,129600.0,3.0,0.0,,0.0,2,0.2377556437380407
Curso Propedéutico UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,20.0,2.0,0.0,Nivel 1,1.0,1,-0.12147833277151648
Copias de documentos que obren en la Procuraduría Fiscal del Estado.,Secretaría de Hacienda,Secretaría de Hacienda,4320.0,1.0,1.0,,1.0,1,0.29701921637565953
Certificado Parcial UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,30.0,1.0,0.0,Nivel 1,1.0,1,-0.20086966126398303
Reposición de credencial UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,5.0,1.0,0.0,Nivel 1,1.0,1,-0.3173321499062208
Curso semipresencial ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,2880.0,1.0,0.0,Nivel 1,1.0,1,0.11670194437952788
Exámenes Generales de Egreso de la Licenciatura (EGEL) ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,300.0,1.0,0.0,Nivel 1,1.0,1,0.21972124142440044
Congresos - Simposios ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,4320.0,1.0,0.0,Nivel 1,1.0,1,0.21729550070986225
Servicios Tecnológicos tipo I (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,47520.0,0.0,0.0,,1.0,1,0.4453095151127009
Asesoría Técnica ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,14400.0,1.0,1.0,Nivel 1,1.0,1,0.3201265645939345
Dictamen de equivalencia ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,15840.0,4.0,1.0,Nivel 1,1.0,1,0.613008202413633
"Curso de extensión, actualización o educación continua ITESHU.",Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,4320.0,1.0,1.0,Nivel 1,1.0,1,0.22362004205865357
Evaluación de segunda oportunidad ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,360.0,1.0,0.0,Nivel 1,1.0,1,0.23429310615472249
Titulación ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,85.0,8.0,1.0,Nivel 1,1.0,1,0.3823054699520477
Capacitación y Certificación a entrenadores Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,3.0,0.0,Nivel 1,1.0,1,-0.17331682723909808
Reposición de Credencial UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,2.0,0.0,Nivel 4.3,1.0,0,-0.7420644016277984
Inscripción (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Registro de Admisión (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,1440.0,2.0,2.0,Nivel 1,1.0,1,0.5606587761968498
"Componente Rehabilitación, Modernización y Tecnificación de Distritos de Riego.",Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,3.0,1.0,Nivel 2,0.0,2,-0.20259487024697959
Componente Equipamiento de Distritos de Riego.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,3.0,1.0,Nivel 2,0.0,2,-0.20259487024697959
"Componente Rehabilitación, Modernización, Tecnificación, Equipamiento de Unidades de Riego y Proyectos Productivos en Zonas de Atención Prioritaria.",Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,5.0,1.0,Nivel 2,0.0,2,-0.012776426960269593
Certificación de copias de documentos históricos,Oficialía Mayor,Oficialía Mayor,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Acuerdo de autorización por cambio de domicilio,Secretaría de Educación Pública,Secretaría de Educación Pública,259200.0,2.0,1.0,Nivel 1,1.0,1,0.7709937707494505
Duplicado de certificado de estudios UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,30240.0,1.0,0.0,Nivel 1,1.0,1,0.33567677953223457
Expedición de Certificado de Estudios UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,2.0,0.0,Nivel 4.3,1.0,0,-0.7420644016277984
Historial Académico UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,1440.0,0.0,1.0,Nivel 1,0.0,2,-0.477258762084311
Curso de Lengua Extranjera a Público en General y Personal Docente y Administrativo UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,3.0,1.0,Nivel 1,1.0,1,0.2184494058420712
Reposición de Credencial Escolar UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,15.0,2.0,0.0,Nivel 1,1.0,1,-0.14327858362748175
Becas UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,8.0,1.0,1.0,Nivel 4.1,0.0,0,-1.6306385755902713
Aclaración de resultados de exámenes de Preparatoria Abierta por omisión y/o revisión administrativa,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,15.0,1.0,1.0,Nivel 1,0.0,2,-0.7771221430301026
Registro de Equivalencias Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,20.0,3.0,1.0,Nivel 1,0.0,2,-0.6598989720603854
Titulación UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,172800.0,7.0,0.0,Nivel 2,1.0,1,1.0583930130214978
Constancia de Estudios COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,2880.0,0.0,0.0,Nivel 1,1.0,1,0.11670194437952788
Certificado de Estudios COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,30240.0,0.0,0.0,Nivel 1,1.0,1,0.33567677953223457
Equivalencia de Estudios COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,17280.0,1.0,0.0,Nivel 1,1.0,1,0.32841736200823973
Seguro Escolar COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,5.0,0.0,0.0,Nivel 1,1.0,1,-0.3173321499062208
Historial académico UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,2.0,1.0,0.0,Nivel 4.3,0.0,0,-1.5201030921110994
Equivalencias de estudios UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,30240.0,3.0,0.0,Nivel 1,0.0,2,-0.11364548099167354
Alimentación Escolar Modalidad Fría,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,1.0,,0.0,2,-0.308436667653553
Alimentación Escolar Modalidad Caliente,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
"Atención Alimentaria a Grupos Prioritarios, Personas Mayores",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Atención Alimentaria en los Primeros 1000 Días,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,1.0,Nivel 1,0.0,2,-0.381835841970559
Atención Alimentaria a Personas en Situación de Emergencia o Desastre,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
"Atención Alimentaria a Grupos Prioritarios, Personas con Discapacidad",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Atención Psicológica a Mujeres en Situación de Violencia de Género,Secretaría de Gobierno,Ciudad de las Mujeres,60.0,0.0,0.0,,0.0,2,-0.6179513445454223
Admisión ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,27.0,4.0,0.0,Nivel 1,1.0,1,0.07621203622375325
Servicios de Sensibilización y desarrollo de habilidades para la vida de las juventudes,Secretaría de Gobierno,Ciudad de las Mujeres,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Aviso de Actualización de Datos o Baja del Establecimiento de Insumos para la Salud que Opera con Licencia Sanitaria.,Secretaría de Salud,Secretaría de Salud,20.0,0.0,0.0,Nivel 1,0.0,2,-0.7616464335229287
Aviso de Actualización de Datos para Servicios Urbanos de Fumigación y Control de Plagas Urbanas del Establecimiento que Opera con Licencia Sanitaria.,Secretaría de Salud,Secretaría de Salud,0.0,0.0,0.0,Nivel 1,0.0,2,-0.6539868457103414
Aviso de Funcionamiento de Crematorio,Secretaría de Salud,Secretaría de Salud,21600.0,7.0,1.0,Nivel 1,0.0,2,0.2653339112488291
Aviso de Funcionamiento de Panteón.,Secretaría de Salud,Secretaría de Salud,21600.0,6.0,1.0,Nivel 1,0.0,2,0.055524420149194675
Licencia Sanitaria de Unidades Móviles para Traslado de Cadáveres,Secretaría de Salud,Secretaría de Salud,21600.0,3.0,0.0,Nivel 1,0.0,2,-0.14061856448630664
Solicitud de Modificación a la Licencia Sanitaria de Establecimientos de Insumos para la Salud Modalidad G.- Farmacia o Botica (con venta de medicamentos controlados),Secretaría de Salud,Secretaría de Salud,86400.0,2.0,0.0,Nivel 1,1.0,1,0.5152596098944136
Solicitud de Modificación a la Licencia Sanitaria para Servicios Urbanos de Fumigación y Control de plagas.,Secretaría de Salud,Secretaría de Salud,86400.0,3.0,0.0,Nivel 1,1.0,1,0.5152596098944136
Credencial Escolar y duplicado COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,31680.0,0.0,0.0,Nivel 1,1.0,1,0.3394060531950629
Asesoría para el Desarrollo de Productos y la Comercialización en Agronegocios.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,2.0,1.0,Nivel 2,0.0,2,-0.455235016287565
